time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-05 00:00:00+00:00,32,4,323,13
2023-07-06 00:00:00+00:00,171,9,232,14
2023-07-07 00:00:00+00:00,18,4,142,14
2023-07-08 00:00:00+00:00,36,6,231,7
2023-07-09 00:00:00+00:00,108,6,425,6
2023-07-10 00:00:00+00:00,26,4,247,13
2023-07-11 00:00:00+00:00,8,3,111,17
2023-07-12 00:00:00+00:00,5,3,60,12
2023-07-13 00:00:00+00:00,27,5,145,17
2023-07-14 00:00:00+00:00,14,5,154,5
2023-07-15 00:00:00+00:00,4,4,33,10
2023-07-16 00:00:00+00:00,7,3,37,7
2023-07-17 00:00:00+00:00,29,5,167,11
2023-07-18 00:00:00+00:00,60,7,300,17
2023-07-19 00:00:00+00:00,47,9,209,15
2023-07-20 00:00:00+00:00,62,6,468,10
2023-07-21 00:00:00+00:00,81,11,321,16
2023-07-22 00:00:00+00:00,11,5,117,12
2023-07-23 00:00:00+00:00,12,3,138,14
2023-07-24 00:00:00+00:00,59,11,161,10
2023-07-25 00:00:00+00:00,24,7,180,10
2023-07-26 00:00:00+00:00,21,6,183,15
2023-07-27 00:00:00+00:00,52,10,233,15
2023-07-28 00:00:00+00:00,84,15,393,10
2023-07-29 00:00:00+00:00,10,4,104,10
2023-07-30 00:00:00+00:00,21,7,40,10
2023-07-31 00:00:00+00:00,43,13,216,12
2023-08-01 00:00:00+00:00,10,3,35,9
2023-08-02 00:00:00+00:00,12,4,29,9
2023-08-03 00:00:00+00:00,11,4,36,4
2023-08-04 00:00:00+00:00,12,4,28,8
2023-08-05 00:00:00+00:00,15,7,6,5
2023-08-06 00:00:00+00:00,13,5,22,6
2023-08-07 00:00:00+00:00,24,6,92,14
2023-08-08 00:00:00+00:00,13,3,51,11
2023-08-09 00:00:00+00:00,28,8,122,11
2023-08-10 00:00:00+00:00,15,4,42,14
2023-08-11 00:00:00+00:00,14,2,101,13
2023-08-12 00:00:00+00:00,19,5,157,9
2023-08-13 00:00:00+00:00,13,1,40,6
2023-08-14 00:00:00+00:00,18,6,280,13
2023-08-15 00:00:00+00:00,24,10,172,11
2023-08-16 00:00:00+00:00,14,3,96,12
2023-08-17 00:00:00+00:00,13,2,22,9
2023-08-18 00:00:00+00:00,18,5,2,2
2023-08-19 00:00:00+00:00,18,4,5,4
2023-08-20 00:00:00+00:00,16,2,24,7
2023-08-21 00:00:00+00:00,19,5,21,4
2023-08-22 00:00:00+00:00,16,3,29,7
2023-08-23 00:00:00+00:00,17,4,36,6
2023-08-24 00:00:00+00:00,16,3,14,9
2023-08-25 00:00:00+00:00,16,3,33,9
2023-08-26 00:00:00+00:00,17,3,62,6
2023-08-27 00:00:00+00:00,18,5,51,6
2023-08-28 00:00:00+00:00,23,7,29,8
2023-08-29 00:00:00+00:00,15,2,33,14
2023-08-30 00:00:00+00:00,16,3,17,6
2023-08-31 00:00:00+00:00,16,3,118,7
2023-09-01 00:00:00+00:00,15,2,34,10
2023-09-02 00:00:00+00:00,16,2,11,6
2023-09-03 00:00:00+00:00,31,7,39,3
2023-09-04 00:00:00+00:00,30,6,63,10
2023-09-05 00:00:00+00:00,14,1,61,11
2023-09-06 00:00:00+00:00,15,2,26,8
2023-09-07 00:00:00+00:00,17,5,7,5
2023-09-08 00:00:00+00:00,14,1,23,8
2023-09-09 00:00:00+00:00,18,4,88,11
2023-09-10 00:00:00+00:00,14,1,13,3
2023-09-11 00:00:00+00:00,13,1,44,12
